George Ade|George Ade|Ade, George, 1866-1944|1866-1944|1866-1944|8|1|Found: via dates
NA|Walter Frederic Adeney|Adeney, Walter F. (Walter Frederic), 1849-1920||1849-1920|0|0|
Guilhèm Adèr|Guillaume Ader|Ader, Guillaume, 1575?-1628||1575-1628|1|0|Found: via work_scan WParticle
NA|W. Bion Adkins|Adkins, W. Bion|||1|0|
Felix Adler (professor)|Felix Adler|Adler, Felix, 1851-1933|1851-1933|1851-1933|3|1|Found: via dates
George J. Adler|George J. Adler|Adler, George J.|1821-1868||1|0|Found: via work_scan OpenL
NA|A. Adossidès|Adossidès, A.|||1|0|
Diego Aduarte|Diego Aduarte|Aduarte, Diego|1570-1637||2|0|Found: via work_scan WParticle
Endre Ady|Endre Ady|Ady, Endre, 1877-1919|1877-1919|1877-1919|4|0|Found: via dates
Julia Cartwright Ady|Julia Mary Cartwright Ady|Ady, Julia Mary Cartwright, 1851-1924|1851-1924|1851-1924|1|0|Found: via dates
John Miller Adye|John Adye|Adye, John, Sir, 1819-1900|1819-1900|1819-1900|2|1|Found: via dates
Ælfric of Eynsham|Abbot of Eynsham Aelfric|Aelfric, Abbot of Eynsham|955-1010||1|0|Found: via work_scan WParticle
Aeschylus|Aeschylus|Aeschylus, 525 BC-456 BC|520s-456|525-456|10|1|Found: via work_scan WParticle
Aesop|Aesop|Aesop, 620? BC-564? BC|620-564|620-564|19|0|Found: via work_scan OpenL
Aesop|Æsop|Æsop|620-564||1|0|Found: via work_scan OpenL WLH
NA|Frederick George Aflalo|Aflalo, Frederick G. (Frederick George), 1870-1918||1870-1918|0|0|
NA|Effie Afton|Afton, Effie, 1829-1887||1829-1887|0|0|
NA|F. J. Agassis|Agassis, F. J.|||1|0|
Louis Agassiz|Louis Agassiz|Agassiz, Louis, 1807-1873|1807-1873|1807-1873|1|1|Found: via dates
NA|Alva Agee|Agee, Alva, 1858-1943||1858-1943|0|0|
NA|Lucie des Ages|Ages, Lucie des|||1|0|
NA|Thomas Radford Agg|Agg, T. R. (Thomas Radford), 1878-1947||1878-1947|0|0|
NA|Émile Agnel|Agnel, Émile, 1810-1882||1810-1882|0|0|
NA|José Agostinho|Agostinho, José, 1866-1938||1866-1938|0|0|
Alfhild Agrell|Alfhild Agrell|Agrell, Alfhild, 1849-1923|1849-1923|1849-1923|1|1|Found: via dates
Georgius Agricola|Georgius Agricola|Agricola, Georgius, 1494-1555|1494-1555|1494-1555|1|0|Found: via dates
Camillo Agrippa|Camillo Agrippa|Agrippa, Camillo, 16th cent.|-1590s|16thcent.-|1|1|Found: via work_scan OpenL
